Date,Home,Away,HomeScore,AwayScore
4/23/24,Red,Orange
4/24/24,Green,Purple
4/30/24,Green,Orange
5/1/24,Red,Purple
5/7/24,Red,Green
5/8/24,Orange,Purple
5/14/24,Purple,Green
5/15/24,Orange,Red
5/21/24,Red,Purple
5/22/24,Orange,Green
5/28/24,Purple,Orange
5/29/24,Green,Red
6/4/24,Green,Orange
6/5/24,Purple,Red
6/11/24,Red,Orange
6/12/24,Purple,Green
6/18/24,Green,Red
6/20/24,Purple,Orange

# 2023
13/6/2023,Green,Purple,4,2
14/6/2023,Orange,Red,12,3
20/6/2023,Red,Green,1,4
21/6/2023,Purple,Orange,11,1
27/6/2023,Green,Orange,5,2
28/6/2023,Red,Purple,2,10
11/7/2023,Orange,Red,6,2
12/7/2023,Purple,Green,1,0
18/7/2023,Purple,Orange,3,2
19/7/2023,Green,Red,4,3
25/7/2023,Red,Purple,1,2
26/7/2023,Orange,Green,2,6
1/8/2023,Purple,Green,3,2
2/8/2023,Red,Orange,1,1
8/8/2023,Red,Green,1,3
9/8/2023,Orange,Purple,1,0
15/8/2023,Purple,Red,8,3
16/8/2023,Green,Orange,3,0
22/8/2023,Orange,Red,4,1
23/8/2023,Green,Purple,4,6
29/8/2023,Orange,Purple,5,6
30/8/2023,Red,Green,1,5
12/9/2023,Green,Orange,6,3
13/9/2023,Purple,Red,5,5
19/9/2023,Third (Orange),Fourth (Red),2,1
20/9/2023,First (Purple),Second (Green),4(2),4(4)
